Col1,Col2,Col3,Col4,Col5,Col6,Col7
Word80 Word3 Word4,V135714,5120.0,Word703 Word1556,2018-10-31,Word563 Word629 Word581 Word232,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,15404,50.19,Word575,2018-07-31,Word563 Word575,NoDoc
Word116 Word117 Word118 Word119 Word7,155120,576.0,Word562,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,4513,1473.0,Word992 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word137 Word138 Word7,ARBG5026,1680.0,Word984 Word835 Word905 Word791,2018-05-31,Word563 Word359,NoDoc
Word48 Word3 Word4 Word5,IP20180525,450.0,Word877 Word810 Word800 Word805,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3775,810.0,Word694 Word784 Word785,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word224 Word3 Word4 Word5,GH51-23999,540.0,Word338 Word779 Word99,2018-03-01,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,UD610,2520.0,Word785 Word9,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word47 Word3 Word4 Word39,2018001983,8754.5,Word826 Word780,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80A+11,120.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,PAGXHYL010818,12896.27,Word979 Word1005 Word909 Word45 Word831 Word830,2018-01-01,Word571 Word52 Word646 Word633 Word579,NoDoc
Word96 Word3 Word4 Word5,57330,400.0,Word797 Word809 Word780,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2825,360.0,Word255 Word791,2018-05-31,Word563 Word132 Word610,NoDoc
Word349 Word3 Word4 Word7,18-1421,9230.0,Word730 Word791 Word1113 Word1114,2018-03-01,Word565 Word566,NoDoc
Word48 Word3 Word4 Word5,FS20174579,630.0,Word780 Word877,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word560 Word561 Word107,Doc1
Word16 Word17 Word18 Word7,HL766,2520.0,Word1189 Word784 Word785,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,684415,832.0,Word123 Word809 Word60 Word99 Word26,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4924,691.2,Word959 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,2608,140.4,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word91 Word409 Word4 Word7,93018,2803.98,Word633 Word1724 Word743,2018-10-31,Word571 Word52 Word743 Word21 Word744 Word745,NoDoc
Word16 Word17 Word18 Word7,2921,140.4,Word783 Word784 Word785,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word534 Word397 Word5,113027,29440.0,Word2031 Word4,2018-06-30,Word567 Word582 Word583 Word584 Word585 Word586,Doc1
Word139 Word3 Word4 Word7,15778,5561.25,Word562 Word1044 Word49,2018-05-31,Word563 Word589 Word590,NoDoc
Word97 Word91 Word4 Word5,18-1862,240.0,Word123 Word190,2018-05-31,Word563 Word132 Word610,NoDoc
Word96 Word3 Word4 Word5,63340,285.0,Word1018 Word190,2018-02-01,Word563 Word629 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,2112,225.0,Word255 Word9,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-422,3554.95,Word191 Word1264 Word562,2018-01-01,Word563 Word366 Word56 Word4,NoDoc
Word30 Word31,656805,467.5,Word797 Word190,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word101 Word102 Word103 Word7,110622,5500.0,Word861 Word1130 Word931 Word656,2018-01-01,Word576 Word679 Word680,Doc3
Word324 Word4,18-8258,47524.74,Word700 Word980 Word160 Word883 Word695 Word1522 Word1722 Word1523,2018-08-31,Word52 Word330 Word566,NoDoc
Word30 Word31,636343,351.0,Word564 Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word78 Word79 Word11 Word5,E071418-11,384.0,Word330 Word99 Word780,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,NR1141,360.0,Word125 Word966,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word179 Word180 Word181 Word182,GTUZU09282018,48705.93,Word979 Word836 Word694 Word45 Word911 Word808,2018-10-31,Word571 Word52 Word594 Word595 Word596 Word597,NoDoc
Word16 Word17 Word3 Word7,70524,227.33,Word562,2018-06-30,Word563 Word366 Word562,NoDoc
Word42 Word43 Word5,7432,2330.0,Word1488 Word9 Word1489,2017-12-01,Word576 Word366 Word562,Doc3
Word116 Word117 Word118 Word119 Word7,152766,576.0,Word51 Word791 Word562,2018-06-30,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64627,840.0,Word1331 Word592 Word764 Word1375,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,20266,2185.32,Word575,2018-11-30,Word563 Word575,NoDoc
Word41 Word49 Word7,3503,8746.0,Word1035 Word980 Word717 Word980 Word911 Word2015 Word2016,2018-09-30,Word52 Word330 Word566,NoDoc
Word42 Word43 Word5,7430,942.5,Word804 Word805 Word806,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word38 Word4 Word39,41500468,22000.0,Word121 Word985,2018-06-30,Word563 Word121 Word579,NoDoc
Word219 Word220 Word34 Word5,1024,22148.75,Word1045 Word835 Word220 Word985,2018-09-30,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word8 Word9 Word10 Word11 Word5,4.80J+11,107.5,Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word33 Word34 Word35 Word7,108644-1061,7037.73,Word562,2018-07-31,Word563 Word366 Word56 Word4,NoDoc
Word382 Word132 Word155 Word5,20180205,8000.0,Word846 Word791,2018-02-01,Word567 Word582 Word107,Doc1
Word25 Word26,090718-8,1104.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word186 Word4 Word5,7485,7700.0,Word1432,2018-02-01,Word560 Word561 Word685 Word686 Word687 Word688,Doc1
Word101 Word102 Word103 Word7,113451,136.0,Word562,2018-09-30,Word576 Word366 Word562,Doc3
Word342 Word343 Word344,7900044080447190-112917,581.85,Word681 Word1346,2017-12-01,Word571 Word52 Word636 Word637 Word579,NoDoc
Word187 Word188,NXR112018,59401.33,Word613 Word781 Word967 Word986 Word808,2018-11-30,Word571 Word52 Word572 Word573 Word574,NoDoc
Word16 Word17 Word18 Word7,2443,702.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word474 Word475,JHLQFKV070218,125.0,Word613 Word781 Word1850,2018-07-31,Word571 Word52 Word594 Word624 Word21 Word625,NoDoc
Word16 Word17 Word18 Word7,FS1370,1260.0,Word1033,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word217 Word3 Word10 Word5,FCDLA041518-1,42170.4,Word1281 Word9,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word12 Word13 Word7,10731,30980.0,Word777 Word45 Word160 Word45 Word778,2018-01-01,Word565 Word566,NoDoc
Word42 Word43 Word5,8437,36000.0,Word1034 Word773 Word774,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word167 Word168 Word169,IZWLRQ030518,6346.0,Word1356 Word1059 Word1104 Word835,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word160 Word161 Word61 Word45 Word39,797-9,325.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word144 Word145 Word146 Word147 Word7,125266,1729.0,Word685 Word832 Word679,2018-04-01,Word563 Word366 Word562,NoDoc
Word116 Word117 Word118 Word119 Word7,155118,576.0,Word51 Word791,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Q+11,65.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word58 Word3 Word4 Word5,12800,1400.0,Word1071 Word9 Word191,2018-03-01,Word563 Word366 Word562,NoDoc
Word273 Word61,467,110.0,Word60 Word99 Word1516,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,660918C,48.0,Word61,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word73 Word4 Word5,1803104,7705.0,Word1717 Word1718 Word1372,2018-05-31,Word563 Word366 Word562,NoDoc
Word76 Word77 Word5,52032433,32255.0,Word13 Word794,2018-11-30,Word560 Word561 Word107,Doc1
Word116 Word117 Word118 Word119 Word7,149307,576.0,Word51 Word794,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,3229,1293.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4871,741.6,Word924 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word116 Word117 Word118 Word119 Word7,147389,576.0,Word51 Word794 Word562,2018-04-01,Word563 Word580 Word581 Word232,NoDoc
Word116 Word117 Word118 Word119 Word7,156708,576.0,Word51 Word794 Word562,2018-11-30,Word563 Word121 Word579,NoDoc
Word144 Word145 Word146 Word147 Word7,125458,3598.0,Word685 Word883 Word132 Word191,2018-04-30,Word576 Word366 Word562,Doc3
Word8 Word9 Word10 Word11 Word5,4.80X+11,34.4,Word564 Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,8313,12000.0,Word1236 Word773 Word774,2018-08-31,Word563 Word580 Word581 Word232,NoDoc
Word40 Word41 Word4 Word5,1616,1820.0,Word802 Word278 Word1242 Word1468,2018-06-30,Word567 Word582 Word580 Word202 Word545,Doc1
Word308 Word309 Word310,2018HMWJEUYCHFCAPE,2760671.27,Word835 Word682 Word683 Word684,2018-10-31,Word563 Word682 Word683 Word684,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,19778,10.08,Word1668 Word1843,2018-10-31,Word563 Word575,NoDoc
Word113 Word114 Word115 Word7,151965,6900.0,Word1146,2018-10-31,Word52 Word330 Word566,NoDoc
Word122 Word123 Word21 Word124 Word5,VYY18100,600.0,Word877 Word1902,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,5170,410.4,Word783 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word166 Word5,1624,3272.5,Word956 Word894 Word123 Word809,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,8181,2640.0,Word1119 Word372 Word1581,2018-07-31,Word563 Word366 Word562,NoDoc
Word81 Word82 Word5,0218XRLTJUTMNB,500.0,Word82 Word1087 Word856 Word1088 Word835,2018-04-30,Word563 Word580 Word581 Word232,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65150,945.0,,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,XS1411,6300.0,Word1803 Word784,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word101 Word102 Word103 Word7,112192,20172.38,Word562 Word1567,2018-06-30,Word576 Word366 Word562,Doc3
Word38 Word4 Word39,41478196,4223.0,Word121 Word791,2018-02-01,Word563 Word121 Word579,NoDoc
Word83 Word84 Word44 Word7,21418-3-1,2017.31,Word850 Word853,2018-06-30,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,AU1695,5040.0,Word9 Word26,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word225 Word9 Word226 Word5,AGDRHB060118,1143952.8,Word9 Word1059 Word1060 Word1061 Word834,2018-06-30,Word567 Word650 Word9 Word255,Doc1
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,3176,1221.4,Word785 Word330 Word99 Word764 Word26,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word517 Word91 Word4 Word5,RY26516,1670.0,Word797 Word190,2018-07-31,Word567 Word568 Word569 Word570,Doc1
Word48 Word3 Word4 Word5,HJ20182842,5180.0,Word9 Word878 Word642 Word1471 Word9,2018-08-31,Word567 Word568 Word569 Word570,Doc1
Word42 Word43 Word5,8490,870.0,Word562,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,OY223,7560.0,Word172 Word1196 Word764 Word780,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,6578,640.8,Word885 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,664919,48.0,Word61,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word6 Word7,10222,2305.0,Word511 Word1145,2018-01-01,Word576 Word679 Word680,Doc3
Word179 Word180 Word181 Word182,GCXMK09282018,48705.93,Word979 Word836 Word694 Word45 Word911 Word808,2018-10-31,Word571 Word52 Word636 Word372 Word575 Word613,NoDoc
Word42 Word43 Word5,7717,8980.0,Word562 Word1091 Word190,2018-02-01,Word576 Word366 Word562,Doc3
Word16 Word17 Word18 Word7,AW1027,180.0,Word783 Word784 Word785,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word383 Word384,ISIIN020618GSY,263.0,Word1475 Word613 Word781 Word1476,2018-02-01,Word692 Word721 Word665,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80U+11,3140.0,Word330 Word99 Word764 Word780,2018-08-31,Word567 Word568 Word569 Word570,Doc1
Word186 Word4 Word5,9304,1000.0,Word718,2018-07-31,Word560 Word561 Word685 Word686 Word687 Word688,Doc1
Word8 Word9 Word10 Word11 Word5,4.80P+11,240.0,Word330 Word99 Word26,2018-07-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80B+11,55.9,Word9 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,7765,435.0,Word804 Word805 Word806,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word113 Word114 Word115 Word7,148393,570.0,Word578 Word791,2018-07-31,Word567 Word582 Word366 Word562,Doc1
Word533 Word3 Word4 Word75 Word39,ZGY_00106641,2450.0,Word2032 Word1300,2018-02-01,Word560 Word561 Word366 Word562,Doc1
Word16 Word17 Word3 Word7,71908,216.0,Word1326 Word805 Word605,2018-09-30,Word563 Word366 Word562,NoDoc
Word156 Word157 Word7,1573244,426.66,Word1322 Word319 Word1257,2017-12-01,Word563 Word121 Word579,NoDoc
Word58 Word3 Word4 Word5,13276,4565.0,Word1017 Word190 Word833,2018-10-31,Word563 Word366 Word562,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word676,NoDoc
Word16 Word17 Word18 Word7,4135,225.0,Word132 Word255,2018-03-01,Word563 Word132 Word610,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,19476,830.91,Word575 Word84 Word1578,2018-10-31,Word563 Word575,NoDoc
Word193 Word311 Word214 Word4 Word7,6210096080,1094.8,Word26,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3029,871.2,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word217 Word3 Word10 Word5,SVO091518-1,4392.96,Word1281 Word9 Word26,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word111 Word112 Word91 Word107 Word7,27061,10140.0,Word846 Word791,2018-05-31,Word567 Word582 Word107,Doc1
Word16 Word17 Word18 Word7,3331,561.6,Word924 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word299 Word237 Word7,31472,30103.91,Word949 Word991 Word909 Word808 Word882 Word830,2018-01-01,Word571 Word52 Word657 Word292 Word13,NoDoc
Word144 Word145 Word146 Word147 Word7,125265,1729.0,Word722 Word861 Word1586 Word825,2018-04-01,Word563 Word366 Word562,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word563 Word359,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65620,315.0,Word994 Word700 Word191,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,3006,225.0,Word255,2018-02-01,Word567 Word650 Word9 Word255,Doc1
Word24 Word22 Word4 Word5,21984,1555.0,Word258 Word99 Word785,2018-04-01,Word567 Word582 Word41 Word577 Word644,Doc1
Word113 Word114 Word115 Word7,142537,467.5,,2018-02-01,Word560 Word561 Word612,Doc1
Word30 Word31,644074,42.0,Word826 Word780,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word263 Word264 Word61 Word5,PC2512,1821.6,Word1585 Word599 Word191,2018-11-30,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80Z+11,156.95,Word1966 Word784 Word929,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,4469,1093.2,Word885 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word134 Word61 Word45 Word39,BBRB2018WBCLWSWU,506.46,Word689 Word780,2018-09-30,Word563 Word564 Word9 Word26,NoDoc
Word101 Word102 Word103 Word7,112667,5795.3,Word562 Word1567,2018-07-31,Word576 Word674 Word675,Doc3
Word38 Word4 Word39,41521918,3862.5,Word121 Word836,2018-09-30,Word563 Word121 Word579,NoDoc
Word113 Word114 Word115 Word7,148971,5318.75,Word578 Word991,2018-08-31,Word560 Word561 Word612,Doc1
Word435 Word51 Word4 Word5,RN7671,2127.5,Word797 Word1685 Word1686 Word780 Word1687,2018-08-31,Word567 Word582 Word366 Word562,Doc1
Word16 Word17 Word18 Word7,1722,235.2,Word785 Word330 Word99 Word26,2017-12-01,Word563 Word564 Word9 Word26,NoDoc
Word83 Word84 Word44 Word7,120117-8-1,714.95,Word850 Word827,2018-01-01,Word563 Word580 Word581 Word232,NoDoc
Word80 Word3 Word4,Z77522,5485.0,Word1644 Word954 Word1032 Word856,2018-01-01,Word563 Word580 Word755,NoDoc
Word16 Word17 Word18 Word7,3138,899.4,Word924 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word6 Word7,10701,855.0,Word1283 Word832 Word809 Word1910,2018-09-30,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word101 Word102 Word103 Word7,112476,9549.31,Word562 Word21 Word115,2018-06-30,Word576 Word366 Word562,Doc3
Word219 Word220 Word34 Word5,1017-BZ,9375.88,Word846 Word991 Word45 Word45 Word981 Word808,2018-05-31,Word560 Word603 Word604 Word605 Word606,Doc1
Word409 Word165 Word410 Word411,OQQOLKJEAUMZ0218,499403.9,Word1088 Word835 Word1552 Word1553,2018-04-30,Word371 Word726 Word731 Word371 Word692,NoDoc
Word25 Word26,082218-9,44.0,Word61,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word8 Word9 Word10 Word11 Word5,4.80K+11,150.0,Word61,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201806-00045,2829197.98,Word845 Word835 Word46,2018-07-31,Word563 Word660,NoDoc
Word16 Word17 Word18 Word7,2819,828.0,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word27 Word28 Word29 Word5,1125928,2567.04,Word1096 Word965,2018-08-31,Word576 Word130 Word577 Word578,Doc3
Word38 Word4 Word39,41481895,3500.0,Word121 Word791,2018-02-01,Word563 Word121 Word579,NoDoc
Word48 Word3 Word4 Word5,FY20171468,3020.0,Word718 Word1721,2018-07-31,Word560 Word561 Word612,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65925,105.0,Word1680 Word1681,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word6 Word7,10263,495.0,Word806 Word1080 Word780 Word856,2018-02-01,Word565 Word566,NoDoc
Word277 Word278 Word23 Word44,53719,10047.5,Word278 Word791,2018-08-31,Word613 Word99 Word614 Word693 Word319,Doc2
Word48 Word3 Word4 Word5,DY20174307,175.0,,2018-01-01,Word563 Word564 Word9 Word26,NoDoc
Word41 Word125 Word34 Word5,167,7725.0,Word709 Word799 Word857,2018-02-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word16 Word17 Word18 Word7,6586,320.4,Word783 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65433,1155.0,Word1477 Word1623 Word706,2018-02-01,Word563 Word580 Word581 Word232,NoDoc
Word160 Word161 Word61 Word45 Word39,785-3,50.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word58 Word3 Word4 Word5,12946,1215.0,Word1205 Word1017 Word190,2018-06-30,Word288 Word626 Word627,NoDoc
Word16 Word17 Word18 Word7,3109,1293.0,,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word376 Word377 Word44,100058455,5458.0,Word777 Word865 Word910 Word865 Word1463,2018-04-30,Word567 Word107,Doc1
Word38 Word4 Word39,41527859,3862.5,Word121 Word836,2018-11-30,Word563 Word121 Word579,NoDoc
Word212 Word213 Word214 Word125 Word119 Word39,77021,760.0,Word1018 Word190,2018-07-31,Word567 Word582 Word366 Word562,Doc1
Word116 Word117 Word118 Word119 Word7,154253,576.0,Word562,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word177 Word178 Word147 Word7,163DPE,3891.0,Word1950 Word1951,2018-03-01,Word576 Word366 Word562,Doc3
Word8 Word9 Word10 Word11 Word5,4.80F+11,51.6,Word783 Word784 Word568 Word650,2018-04-30,Word563 Word564 Word9 Word26,NoDoc
Word47 Word3 Word4 Word5,2018019978,310.0,Word797 Word190,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word74 Word75 Word44 Word5,AIQ00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word80 Word3 Word4,E156704,79384.3,Word802 Word1032 Word562,2018-10-31,Word567 Word568 Word569 Word295,Doc1
Word96 Word3 Word4 Word5,87021,1080.0,Word797 Word190,2018-08-31,Word563 Word132 Word610,NoDoc
Word16 Word17 Word3 Word7,71941,162.02,Word900 Word805 Word785 Word794,2018-10-31,Word563 Word580 Word581 Word232,NoDoc
Word90 Word91 Word92 Word7,109558,17212.5,Word857 Word858 Word859,2018-03-01,Word567 Word582 Word580 Word202 Word545,Doc1
Word16 Word17 Word18 Word7,BR859,360.0,Word785 Word330 Word99,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word160 Word161 Word61 Word45 Word39,812-2,390.0,Word60 Word99 Word780,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3016,1293.0,Word785 Word330 Word99 Word764 Word61,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word74 Word75 Word44 Word5,XOE00128,269111.58,Word840 Word841 Word842 Word843,2016-10-01,Word563 Word600 Word601 Word602,NoDoc
Word419 Word420 Word421 Word422 Word419 Word52 Word423,YQRPKYM LL 20655,5137.94,Word1610 Word1611 Word1612,2018-01-01,Word630 Word719 Word720,NoDoc
Word59 Word60 Word61 Word5,1228,198.0,Word826 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,3982,1329.6,Word783 Word784 Word785,2018-04-01,Word563 Word564 Word9 Word26,NoDoc
Word189 Word190 Word191 Word7,2358711,1209.9,Word130 Word791,2018-10-31,Word567 Word582 Word366 Word562,Doc1
Word235,508798117,4906.98,Word639 Word991 Word1197,2018-02-01,Word571 Word52 Word639 Word610 Word579,NoDoc
Word42 Word43 Word5,8502,2375.0,Word1283 Word1284,2018-10-31,Word563 Word366 Word562,NoDoc
Word16 Word17 Word18 Word7,2213,982.8,Word338 Word779 Word258 Word26,2017-12-01,Word567 Word569 Word570,Doc1
Word22 Word451 Word452 Word7,45288,4460.02,Word1768,2018-02-01,Word563 Word366 Word562,NoDoc
Word106 Word107 Word7,84875-1,1025.42,Word949 Word791,2018-09-30,Word563 Word366 Word562,NoDoc
Word89 Word44 Word5,67177941,17160.0,Word608 Word644,2018-10-31,Word563 Word608 Word609,NoDoc
Word30 Word31,646970,42.0,Word826 Word780,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word44 Word45 Word46,201805-00053-HZ0,2570126.23,Word834 Word835 Word46,2018-06-30,Word563 Word598 Word71,NoDoc
Word44 Word45 Word46,201811-00046,8799523.59,Word807 Word808 Word46,2018-12-31,Word560 Word561 Word551 Word4,Doc1
Word76 Word77 Word5,52030308,19975.0,Word846 Word791,2018-08-31,Word52 Word330 Word566,NoDoc
Word16 Word17 Word18 Word7,4136,1798.8,Word942 Word784 Word785,2018-03-01,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,657555,1062.5,Word797 Word190,2018-05-31,Word563 Word580 Word581 Word232,NoDoc
Word16 Word17 Word18 Word7,SY171,3018.6,Word1189 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word272 Word29 Word5,41898,4000.0,Word130 Word791,2018-06-30,Word567 Word582 Word366 Word562,Doc1
Word44 Word45 Word46,201805-00053-UK0,2570126.23,Word834 Word835 Word46,2018-06-30,Word563 Word132 Word610,NoDoc
Word219 Word220 Word34 Word5,1023,24726.22,Word1058 Word835 Word619 Word991,2018-09-30,Word560 Word611 Word603 Word604 Word605 Word606,Doc1
Word33 Word34 Word35 Word7,108644-1137,11297.76,Word1369 Word1370 Word883 Word717 Word883 Word831,2018-08-31,Word563 Word366 Word56 Word4,NoDoc
Word140 Word3 Word34,20003,17297.0,Word846 Word791,2018-08-31,Word560 Word561 Word107,Doc1
Word19 Word20 Word21 Word22 Word23 Word5,15743,16.0,Word1191,2018-07-31,Word563 Word575,NoDoc
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,64802,210.0,Word944 Word945,2017-12-01,Word563 Word580 Word581 Word232,NoDoc
Word78 Word79 Word11 Word5,F051418-15,96.0,Word330 Word99 Word26,2018-06-30,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,OS1179,2520.0,Word785 Word330 Word99 Word764 Word26,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
Word42 Word43 Word5,8387,950.0,Word1283 Word1284,2018-09-30,Word560 Word561 Word366 Word562,Doc1
Word96 Word3 Word4 Word5,65025,180.0,Word797 Word190,2018-02-01,Word563 Word564 Word9 Word26,NoDoc
Word320 Word321 Word4 Word5,FZ2982,62190.0,Word1576 Word65,2018-05-31,Word567 Word582 Word41 Word319,Doc1
Word85 Word86 Word87 Word5 Word88 Word16 Word17 Word3 Word7,65868,315.0,Word899 Word805 Word868 Word806,2018-03-01,Word563 Word580 Word581 Word232,NoDoc
Word19 Word20 Word21 Word22 Word23 Word5,16895,829.33,Word575 Word868,2018-08-31,Word563 Word575,NoDoc
Word16 Word17 Word18 Word7,WZ1607,3780.0,Word1465 Word784 Word785,2018-10-31,Word563 Word564 Word9 Word26,NoDoc
Word16 Word17 Word18 Word7,AY139,180.0,Word783 Word784 Word785,2018-05-31,Word563 Word564 Word9 Word26,NoDoc
Word30 Word31,647019,308.0,Word123 Word190,2018-03-01,Word563 Word132 Word610,NoDoc
Word505 Word506 Word128,LB0131912392,6124.0,Word1925 Word1926 Word1927 Word1928,2018-01-01,Word571 Word52 Word657 Word681 Word371 Word13,NoDoc
Word16 Word17 Word18 Word7,HB1039,900.0,Word330 Word99 Word764 Word26,2018-08-31,Word563 Word564 Word9 Word26,NoDoc
